"STATISTIC Label","Year","Age Group","Sex","Region","UNIT","VALUE"
"Estimated Population (Persons in April)","2018","0 - 4 years","Male","Midland","Thousand","12.7"
"Estimated Population (Persons in April)","2018","0 - 4 years","Female","State","Thousand","156.1"
"Estimated Population (Persons in April)","2018","0 - 4 years","Female","Border","Thousand","12"
"Estimated Population (Persons in April)","2018","0 - 4 years","Female","West","Thousand","14.3"
"Estimated Population (Persons in April)","2018","0 - 4 years","Female","Mid-West","Thousand","14.1"
"Estimated Population (Persons in April)","2018","0 - 4 years","Female","South-East","Thousand","12.6"
"Estimated Population (Persons in April)","2018","0 - 4 years","Female","South-West","Thousand","21.6"
"Estimated Population (Persons in April)","2018","0 - 4 years","Female","Dublin","Thousand","43.8"
"Estimated Population (Persons in April)","2018","0 - 4 years","Female","Mid-East","Thousand","25.7"
"Estimated Population (Persons in April)","2018","0 - 4 years","Female","Midland","Thousand","12"
"Estimated Population (Persons in April)","2018","5 - 9 years","Both sexes","State","Thousand","359.6"
"Estimated Population (Persons in April)","2018","5 - 9 years","Both sexes","Border","Thousand","31.7"
"Estimated Population (Persons in April)","2018","5 - 9 years","Both sexes","West","Thousand","33.1"
"Estimated Population (Persons in April)","2018","5 - 9 years","Both sexes","Mid-West","Thousand","35.2"
"Estimated Population (Persons in April)","2018","5 - 9 years","Both sexes","South-East","Thousand","32.5"
"Estimated Population (Persons in April)","2018","5 - 9 years","Both sexes","South-West","Thousand","50.4"
"Estimated Population (Persons in April)","2018","5 - 9 years","Both sexes","Dublin","Thousand","93.3"
"Estimated Population (Persons in April)","2018","5 - 9 years","Both sexes","Mid-East","Thousand","59.9"
"Estimated Population (Persons in April)","2018","5 - 9 years","Both sexes","Midland","Thousand","23.4"
"Estimated Population (Persons in April)","2018","5 - 9 years","Male","State","Thousand","183.9"
"Estimated Population (Persons in April)","2018","5 - 9 years","Male","Border","Thousand","16.3"
"Estimated Population (Persons in April)","2018","5 - 9 years","Male","West","Thousand","17"
"Estimated Population (Persons in April)","2018","5 - 9 years","Male","Mid-West","Thousand","18.1"
"Estimated Population (Persons in April)","2018","5 - 9 years","Male","South-East","Thousand","16.7"
"Estimated Population (Persons in April)","2018","5 - 9 years","Male","South-West","Thousand","25.6"
"Estimated Population (Persons in April)","2018","5 - 9 years","Male","Dublin","Thousand","47.7"
"Estimated Population (Persons in April)","2018","5 - 9 years","Male","Mid-East","Thousand","30.4"
"Estimated Population (Persons in April)","2018","5 - 9 years","Male","Midland","Thousand","12"
"Estimated Population (Persons in April)","2018","5 - 9 years","Female","State","Thousand","175.8"
"Estimated Population (Persons in April)","2018","5 - 9 years","Female","Border","Thousand","15.4"
"Estimated Population (Persons in April)","2018","5 - 9 years","Female","West","Thousand","16.2"
"Estimated Population (Persons in April)","2018","5 - 9 years","Female","Mid-West","Thousand","17.2"
"Estimated Population (Persons in April)","2018","5 - 9 years","Female","South-East","Thousand","15.8"
"Estimated Population (Persons in April)","2018","5 - 9 years","Female","South-West","Thousand","24.8"
"Estimated Population (Persons in April)","2018","5 - 9 years","Female","Dublin","Thousand","45.6"
"Estimated Population (Persons in April)","2018","5 - 9 years","Female","Mid-East","Thousand","29.4"
"Estimated Population (Persons in April)","2018","5 - 9 years","Female","Midland","Thousand","11.4"
"Estimated Population (Persons in April)","2018","10 - 14 years","Both sexes","State","Thousand","334.8"
"Estimated Population (Persons in April)","2018","10 - 14 years","Both sexes","Border","Thousand","30.7"
"Estimated Population (Persons in April)","2018","10 - 14 years","Both sexes","West","Thousand","31.6"
"Estimated Population (Persons in April)","2018","10 - 14 years","Both sexes","Mid-West","Thousand","33.8"
"Estimated Population (Persons in April)","2018","10 - 14 years","Both sexes","South-East","Thousand","31.5"
"Estimated Population (Persons in April)","2018","10 - 14 years","Both sexes","South-West","Thousand","46.9"
"Estimated Population (Persons in April)","2018","10 - 14 years","Both sexes","Dublin","Thousand","82"
"Estimated Population (Persons in April)","2018","10 - 14 years","Both sexes","Mid-East","Thousand","55.8"
"Estimated Population (Persons in April)","2018","10 - 14 years","Both sexes","Midland","Thousand","22.4"
"Estimated Population (Persons in April)","2018","10 - 14 years","Male","State","Thousand","171.6"
"Estimated Population (Persons in April)","2018","10 - 14 years","Male","Border","Thousand","15.9"
"Estimated Population (Persons in April)","2018","10 - 14 years","Male","West","Thousand","16.1"
"Estimated Population (Persons in April)","2018","10 - 14 years","Male","Mid-West","Thousand","17.4"
"Estimated Population (Persons in April)","2018","10 - 14 years","Male","South-East","Thousand","16.3"
"Estimated Population (Persons in April)","2018","10 - 14 years","Male","South-West","Thousand","24"
"Estimated Population (Persons in April)","2018","10 - 14 years","Male","Dublin","Thousand","41.8"
"Estimated Population (Persons in April)","2018","10 - 14 years","Male","Mid-East","Thousand","28.5"
"Estimated Population (Persons in April)","2018","10 - 14 years","Male","Midland","Thousand","11.7"
"Estimated Population (Persons in April)","2018","10 - 14 years","Female","State","Thousand","163.2"
"Estimated Population (Persons in April)","2018","10 - 14 years","Female","Border","Thousand","14.8"
"Estimated Population (Persons in April)","2018","10 - 14 years","Female","West","Thousand","15.5"
"Estimated Population (Persons in April)","2018","10 - 14 years","Female","Mid-West","Thousand","16.5"
"Estimated Population (Persons in April)","2018","10 - 14 years","Female","South-East","Thousand","15.3"
"Estimated Population (Persons in April)","2018","10 - 14 years","Female","South-West","Thousand","23"
"Estimated Population (Persons in April)","2018","10 - 14 years","Female","Dublin","Thousand","40.2"
"Estimated Population (Persons in April)","2018","10 - 14 years","Female","Mid-East","Thousand","27.2"
"Estimated Population (Persons in April)","2018","10 - 14 years","Female","Midland","Thousand","10.7"
"Estimated Population (Persons in April)","2018","15 - 19 years","Both sexes","State","Thousand","318.1"
"Estimated Population (Persons in April)","2018","15 - 19 years","Both sexes","Border","Thousand","28.2"
"Estimated Population (Persons in April)","2018","15 - 19 years","Both sexes","West","Thousand","30.4"
"Estimated Population (Persons in April)","2018","15 - 19 years","Both sexes","Mid-West","Thousand","32.5"
"Estimated Population (Persons in April)","2018","15 - 19 years","Both sexes","South-East","Thousand","29.2"
"Estimated Population (Persons in April)","2018","15 - 19 years","Both sexes","South-West","Thousand","45.2"
"Estimated Population (Persons in April)","2018","15 - 19 years","Both sexes","Dublin","Thousand","81.3"
"Estimated Population (Persons in April)","2018","15 - 19 years","Both sexes","Mid-East","Thousand","50.2"
"Estimated Population (Persons in April)","2018","15 - 19 years","Both sexes","Midland","Thousand","21.1"
"Estimated Population (Persons in April)","2018","15 - 19 years","Male","State","Thousand","162.1"
"Estimated Population (Persons in April)","2018","15 - 19 years","Male","Border","Thousand","14.3"
"Estimated Population (Persons in April)","2018","15 - 19 years","Male","West","Thousand","15.4"
"Estimated Population (Persons in April)","2018","15 - 19 years","Male","Mid-West","Thousand","16.4"
"Estimated Population (Persons in April)","2018","15 - 19 years","Male","South-East","Thousand","14.8"
"Estimated Population (Persons in April)","2018","15 - 19 years","Male","South-West","Thousand","23"
"Estimated Population (Persons in April)","2018","15 - 19 years","Male","Dublin","Thousand","41.3"
"Estimated Population (Persons in April)","2018","15 - 19 years","Male","Mid-East","Thousand","26.1"
"Estimated Population (Persons in April)","2018","15 - 19 years","Male","Midland","Thousand","10.8"
"Estimated Population (Persons in April)","2018","15 - 19 years","Female","State","Thousand","156"
"Estimated Population (Persons in April)","2018","15 - 19 years","Female","Border","Thousand","13.9"
"Estimated Population (Persons in April)","2018","15 - 19 years","Female","West","Thousand","15"
"Estimated Population (Persons in April)","2018","15 - 19 years","Female","Mid-West","Thousand","16.2"
"Estimated Population (Persons in April)","2018","15 - 19 years","Female","South-East","Thousand","14.3"
"Estimated Population (Persons in April)","2018","15 - 19 years","Female","South-West","Thousand","22.2"
"Estimated Population (Persons in April)","2018","15 - 19 years","Female","Dublin","Thousand","40.1"
"Estimated Population (Persons in April)","2018","15 - 19 years","Female","Mid-East","Thousand","24.1"
"Estimated Population (Persons in April)","2018","15 - 19 years","Female","Midland","Thousand","10.3"
"Estimated Population (Persons in April)","2018","20 - 24 years","Both sexes","State","Thousand","291.2"
"Estimated Population (Persons in April)","2018","20 - 24 years","Both sexes","Border","Thousand","22.1"
"Estimated Population (Persons in April)","2018","20 - 24 years","Both sexes","West","Thousand","26.3"
"Estimated Population (Persons in April)","2018","20 - 24 years","Both sexes","Mid-West","Thousand","29.1"
"Estimated Population (Persons in April)","2018","20 - 24 years","Both sexes","South-East","Thousand","24"
"Estimated Population (Persons in April)","2018","20 - 24 years","Both sexes","South-West","Thousand","42.2"
"Estimated Population (Persons in April)","2018","20 - 24 years","Both sexes","Dublin","Thousand","89.8"
"Estimated Population (Persons in April)","2018","20 - 24 years","Both sexes","Mid-East","Thousand","40.3"
"Estimated Population (Persons in April)","2018","20 - 24 years","Both sexes","Midland","Thousand","17.3"
"Estimated Population (Persons in April)","2018","20 - 24 years","Male","State","Thousand","148.3"
"Estimated Population (Persons in April)","2018","20 - 24 years","Male","Border","Thousand","11.3"
"Estimated Population (Persons in April)","2018","20 - 24 years","Male","West","Thousand","13.7"
"Estimated Population (Persons in April)","2018","20 - 24 years","Male","Mid-West","Thousand","15"
"Estimated Population (Persons in April)","2018","20 - 24 years","Male","South-East","Thousand","12.2"
"Estimated Population (Persons in April)","2018","20 - 24 years","Male","South-West","Thousand","21"
"Estimated Population (Persons in April)","2018","20 - 24 years","Male","Dublin","Thousand","45.5"
"Estimated Population (Persons in April)","2018","20 - 24 years","Male","Mid-East","Thousand","20.6"
"Estimated Population (Persons in April)","2018","20 - 24 years","Male","Midland","Thousand","8.9"
"Estimated Population (Persons in April)","2018","20 - 24 years","Female","State","Thousand","142.9"
"Estimated Population (Persons in April)","2018","20 - 24 years","Female","Border","Thousand","10.8"
"Estimated Population (Persons in April)","2018","20 - 24 years","Female","West","Thousand","12.6"
"Estimated Population (Persons in April)","2018","20 - 24 years","Female","Mid-West","Thousand","14.1"
"Estimated Population (Persons in April)","2018","20 - 24 years","Female","South-East","Thousand","11.8"
"Estimated Population (Persons in April)","2018","20 - 24 years","Female","South-West","Thousand","21.1"
"Estimated Population (Persons in April)","2018","20 - 24 years","Female","Dublin","Thousand","44.3"
"Estimated Population (Persons in April)","2018","20 - 24 years","Female","Mid-East","Thousand","19.7"
"Estimated Population (Persons in April)","2018","20 - 24 years","Female","Midland","Thousand","8.4"
"Estimated Population (Persons in April)","2018","25 - 29 years","Both sexes","State","Thousand","293.4"
"Estimated Population (Persons in April)","2018","25 - 29 years","Both sexes","Border","Thousand","20"
"Estimated Population (Persons in April)","2018","25 - 29 years","Both sexes","West","Thousand","24.1"
"Estimated Population (Persons in April)","2018","25 - 29 years","Both sexes","Mid-West","Thousand","26.1"
"Estimated Population (Persons in April)","2018","25 - 29 years","Both sexes","South-East","Thousand","22.5"
"Estimated Population (Persons in April)","2018","25 - 29 years","Both sexes","South-West","Thousand","39.3"
"Estimated Population (Persons in April)","2018","25 - 29 years","Both sexes","Dublin","Thousand","108.4"
"Estimated Population (Persons in April)","2018","25 - 29 years","Both sexes","Mid-East","Thousand","36.7"
"Estimated Population (Persons in April)","2018","25 - 29 years","Both sexes","Midland","Thousand","16.3"
"Estimated Population (Persons in April)","2018","25 - 29 years","Male","State","Thousand","146.6"
"Estimated Population (Persons in April)","2018","25 - 29 years","Male","Border","Thousand","9.9"
"Estimated Population (Persons in April)","2018","25 - 29 years","Male","West","Thousand","12.3"
"Estimated Population (Persons in April)","2018","25 - 29 years","Male","Mid-West","Thousand","13.4"
"Estimated Population (Persons in April)","2018","25 - 29 years","Male","South-East","Thousand","11.1"
"Estimated Population (Persons in April)","2018","25 - 29 years","Male","South-West","Thousand","19.8"
"Estimated Population (Persons in April)","2018","25 - 29 years","Male","Dublin","Thousand","53.7"
"Estimated Population (Persons in April)","2018","25 - 29 years","Male","Mid-East","Thousand","18.1"
"Estimated Population (Persons in April)","2018","25 - 29 years","Male","Midland","Thousand","8.2"
"Estimated Population (Persons in April)","2018","25 - 29 years","Female","State","Thousand","146.8"
"Estimated Population (Persons in April)","2018","25 - 29 years","Female","Border","Thousand","10.1"
"Estimated Population (Persons in April)","2018","25 - 29 years","Female","West","Thousand","11.8"
"Estimated Population (Persons in April)","2018","25 - 29 years","Female","Mid-West","Thousand","12.7"
"Estimated Population (Persons in April)","2018","25 - 29 years","Female","South-East","Thousand","11.4"
"Estimated Population (Persons in April)","2018","25 - 29 years","Female","South-West","Thousand","19.4"
"Estimated Population (Persons in April)","2018","25 - 29 years","Female","Dublin","Thousand","54.7"
"Estimated Population (Persons in April)","2018","25 - 29 years","Female","Mid-East","Thousand","18.5"
"Estimated Population (Persons in April)","2018","25 - 29 years","Female","Midland","Thousand","8.1"
"Estimated Population (Persons in April)","2018","30 - 34 years","Both sexes","State","Thousand","337.7"
"Estimated Population (Persons in April)","2018","30 - 34 years","Both sexes","Border","Thousand","24"
"Estimated Population (Persons in April)","2018","30 - 34 years","Both sexes","West","Thousand","28"
"Estimated Population (Persons in April)","2018","30 - 34 years","Both sexes","Mid-West","Thousand","30.4"
"Estimated Population (Persons in April)","2018","30 - 34 years","Both sexes","South-East","Thousand","26.3"
"Estimated Population (Persons in April)","2018","30 - 34 years","Both sexes","South-West","Thousand","45.8"
"Estimated Population (Persons in April)","2018","30 - 34 years","Both sexes","Dublin","Thousand","116.7"
"Estimated Population (Persons in April)","2018","30 - 34 years","Both sexes","Mid-East","Thousand","46.3"
"Estimated Population (Persons in April)","2018","30 - 34 years","Both sexes","Midland","Thousand","20.3"
"Estimated Population (Persons in April)","2018","30 - 34 years","Male","State","Thousand","162.2"
"Estimated Population (Persons in April)","2018","30 - 34 years","Male","Border","Thousand","11.3"
"Estimated Population (Persons in April)","2018","30 - 34 years","Male","West","Thousand","13.3"
"Estimated Population (Persons in April)","2018","30 - 34 years","Male","Mid-West","Thousand","14.8"
"Estimated Population (Persons in April)","2018","30 - 34 years","Male","South-East","Thousand","12.5"
"Estimated Population (Persons in April)","2018","30 - 34 years","Male","South-West","Thousand","22"
"Estimated Population (Persons in April)","2018","30 - 34 years","Male","Dublin","Thousand","56.6"
"Estimated Population (Persons in April)","2018","30 - 34 years","Male","Mid-East","Thousand","21.8"
"Estimated Population (Persons in April)","2018","30 - 34 years","Male","Midland","Thousand","9.9"
"Estimated Population (Persons in April)","2018","30 - 34 years","Female","State","Thousand","175.5"
"Estimated Population (Persons in April)","2018","30 - 34 years","Female","Border","Thousand","12.7"
"Estimated Population (Persons in April)","2018","30 - 34 years","Female","West","Thousand","14.7"
"Estimated Population (Persons in April)","2018","30 - 34 years","Female","Mid-West","Thousand","15.6"
"Estimated Population (Persons in April)","2018","30 - 34 years","Female","South-East","Thousand","13.8"
"Estimated Population (Persons in April)","2018","30 - 34 years","Female","South-West","Thousand","23.8"
"Estimated Population (Persons in April)","2018","30 - 34 years","Female","Dublin","Thousand","60.1"
"Estimated Population (Persons in April)","2018","30 - 34 years","Female","Mid-East","Thousand","24.5"
"Estimated Population (Persons in April)","2018","30 - 34 years","Female","Midland","Thousand","10.4"
"Estimated Population (Persons in April)","2018","35 - 39 years","Both sexes","State","Thousand","400.6"
"Estimated Population (Persons in April)","2018","35 - 39 years","Both sexes","Border","Thousand","29.8"
"Estimated Population (Persons in April)","2018","35 - 39 years","Both sexes","West","Thousand","34.9"
"Estimated Population (Persons in April)","2018","35 - 39 years","Both sexes","Mid-West","Thousand","37.4"
"Estimated Population (Persons in April)","2018","35 - 39 years","Both sexes","South-East","Thousand","32.6"
"Estimated Population (Persons in April)","2018","35 - 39 years","Both sexes","South-West","Thousand","56.1"
"Estimated Population (Persons in April)","2018","35 - 39 years","Both sexes","Dublin","Thousand","126"
"Estimated Population (Persons in April)","2018","35 - 39 years","Both sexes","Mid-East","Thousand","59.4"
"Estimated Population (Persons in April)","2018","35 - 39 years","Both sexes","Midland","Thousand","24.5"
"Estimated Population (Persons in April)","2018","35 - 39 years","Male","State","Thousand","193.9"
"Estimated Population (Persons in April)","2018","35 - 39 years","Male","Border","Thousand","14.2"
"Estimated Population (Persons in April)","2018","35 - 39 years","Male","West","Thousand","16.9"
"Estimated Population (Persons in April)","2018","35 - 39 years","Male","Mid-West","Thousand","18.2"
"Estimated Population (Persons in April)","2018","35 - 39 years","Male","South-East","Thousand","15.7"
"Estimated Population (Persons in April)","2018","35 - 39 years","Male","South-West","Thousand","27.3"
"Estimated Population (Persons in April)","2018","35 - 39 years","Male","Dublin","Thousand","61.2"
"Estimated Population (Persons in April)","2018","35 - 39 years","Male","Mid-East","Thousand","28.4"
"Estimated Population (Persons in April)","2018","35 - 39 years","Male","Midland","Thousand","12"
"Estimated Population (Persons in April)","2018","35 - 39 years","Female","State","Thousand","206.7"
"Estimated Population (Persons in April)","2018","35 - 39 years","Female","Border","Thousand","15.5"
"Estimated Population (Persons in April)","2018","35 - 39 years","Female","West","Thousand","18"
"Estimated Population (Persons in April)","2018","35 - 39 years","Female","Mid-West","Thousand","19.2"
"Estimated Population (Persons in April)","2018","35 - 39 years","Female","South-East","Thousand","16.9"
"Estimated Population (Persons in April)","2018","35 - 39 years","Female","South-West","Thousand","28.8"
"Estimated Population (Persons in April)","2018","35 - 39 years","Female","Dublin","Thousand","64.8"
"Estimated Population (Persons in April)","2018","35 - 39 years","Female","Mid-East","Thousand","31"
"Estimated Population (Persons in April)","2018","35 - 39 years","Female","Midland","Thousand","12.4"
"Estimated Population (Persons in April)","2018","40 - 44 years","Both sexes","State","Thousand","371"
"Estimated Population (Persons in April)","2018","40 - 44 years","Both sexes","Border","Thousand","29.1"
"Estimated Population (Persons in April)","2018","40 - 44 years","Both sexes","West","Thousand","33.7"
"Estimated Population (Persons in April)","2018","40 - 44 years","Both sexes","Mid-West","Thousand","36.5"
"Estimated Population (Persons in April)","2018","40 - 44 years","Both sexes","South-East","Thousand","32"
"Estimated Population (Persons in April)","2018","40 - 44 years","Both sexes","South-West","Thousand","53.4"
"Estimated Population (Persons in April)","2018","40 - 44 years","Both sexes","Dublin","Thousand","105.3"
"Estimated Population (Persons in April)","2018","40 - 44 years","Both sexes","Mid-East","Thousand","58.2"
"Estimated Population (Persons in April)","2018","40 - 44 years","Both sexes","Midland","Thousand","22.9"
"Estimated Population (Persons in April)","2018","40 - 44 years","Male","State","Thousand","183.2"
"Estimated Population (Persons in April)","2018","40 - 44 years","Male","Border","Thousand","14.3"
"Estimated Population (Persons in April)","2018","40 - 44 years","Male","West","Thousand","16.4"
"Estimated Population (Persons in April)","2018","40 - 44 years","Male","Mid-West","Thousand","18.3"
"Estimated Population (Persons in April)","2018","40 - 44 years","Male","South-East","Thousand","15.7"
"Estimated Population (Persons in April)","2018","40 - 44 years","Male","South-West","Thousand","26.7"
"Estimated Population (Persons in April)","2018","40 - 44 years","Male","Dublin","Thousand","51.7"
"Estimated Population (Persons in April)","2018","40 - 44 years","Male","Mid-East","Thousand","28.4"
"Estimated Population (Persons in April)","2018","40 - 44 years","Male","Midland","Thousand","11.5"
"Estimated Population (Persons in April)","2018","40 - 44 years","Female","State","Thousand","187.9"
"Estimated Population (Persons in April)","2018","40 - 44 years","Female","Border","Thousand","14.8"
"Estimated Population (Persons in April)","2018","40 - 44 years","Female","West","Thousand","17.2"
"Estimated Population (Persons in April)","2018","40 - 44 years","Female","Mid-West","Thousand","18.2"
"Estimated Population (Persons in April)","2018","40 - 44 years","Female","South-East","Thousand","16.2"
"Estimated Population (Persons in April)","2018","40 - 44 years","Female","South-West","Thousand","26.8"
"Estimated Population (Persons in April)","2018","40 - 44 years","Female","Dublin","Thousand","53.6"
"Estimated Population (Persons in April)","2018","40 - 44 years","Female","Mid-East","Thousand","29.8"
"Estimated Population (Persons in April)","2018","40 - 44 years","Female","Midland","Thousand","11.3"
"Estimated Population (Persons in April)","2018","45 - 49 years","Both sexes","State","Thousand","343.5"
"Estimated Population (Persons in April)","2018","45 - 49 years","Both sexes","Border","Thousand","28.1"
"Estimated Population (Persons in April)","2018","45 - 49 years","Both sexes","West","Thousand","32.2"
"Estimated Population (Persons in April)","2018","45 - 49 years","Both sexes","Mid-West","Thousand","34.4"
"Estimated Population (Persons in April)","2018","45 - 49 years","Both sexes","South-East","Thousand","31.1"
"Estimated Population (Persons in April)","2018","45 - 49 years","Both sexes","South-West","Thousand","49.8"
"Estimated Population (Persons in April)","2018","45 - 49 years","Both sexes","Dublin","Thousand","92.2"
"Estimated Population (Persons in April)","2018","45 - 49 years","Both sexes","Mid-East","Thousand","54.4"
"Estimated Population (Persons in April)","2018","45 - 49 years","Both sexes","Midland","Thousand","21.3"
"Estimated Population (Persons in April)","2018","45 - 49 years","Male","State","Thousand","171.5"
"Estimated Population (Persons in April)","2018","45 - 49 years","Male","Border","Thousand","14.1"
"Estimated Population (Persons in April)","2018","45 - 49 years","Male","West","Thousand","16"
"Estimated Population (Persons in April)","2018","45 - 49 years","Male","Mid-West","Thousand","17.3"
"Estimated Population (Persons in April)","2018","45 - 49 years","Male","South-East","Thousand","15.6"
"Estimated Population (Persons in April)","2018","45 - 49 years","Male","South-West","Thousand","25"
"Estimated Population (Persons in April)","2018","45 - 49 years","Male","Dublin","Thousand","45.6"
"Estimated Population (Persons in April)","2018","45 - 49 years","Male","Mid-East","Thousand","27.2"
"Estimated Population (Persons in April)","2018","45 - 49 years","Male","Midland","Thousand","10.8"
"Estimated Population (Persons in April)","2018","45 - 49 years","Female","State","Thousand","172"
"Estimated Population (Persons in April)","2018","45 - 49 years","Female","Border","Thousand","14.1"
"Estimated Population (Persons in April)","2018","45 - 49 years","Female","West","Thousand","16.2"
"Estimated Population (Persons in April)","2018","45 - 49 years","Female","Mid-West","Thousand","17.1"
"Estimated Population (Persons in April)","2018","45 - 49 years","Female","South-East","Thousand","15.5"
"Estimated Population (Persons in April)","2018","45 - 49 years","Female","South-West","Thousand","24.8"
"Estimated Population (Persons in April)","2018","45 - 49 years","Female","Dublin","Thousand","46.6"
"Estimated Population (Persons in April)","2018","45 - 49 years","Female","Mid-East","Thousand","27.2"
"Estimated Population (Persons in April)","2018","45 - 49 years","Female","Midland","Thousand","10.5"
"Estimated Population (Persons in April)","2018","50 - 54 years","Both sexes","State","Thousand","308.6"
"Estimated Population (Persons in April)","2018","50 - 54 years","Both sexes","Border","Thousand","26.6"
"Estimated Population (Persons in April)","2018","50 - 54 years","Both sexes","West","Thousand","29.8"
"Estimated Population (Persons in April)","2018","50 - 54 years","Both sexes","Mid-West","Thousand","31.9"
"Estimated Population (Persons in April)","2018","50 - 54 years","Both sexes","South-East","Thousand","28.7"
"Estimated Population (Persons in April)","2018","50 - 54 years","Both sexes","South-West","Thousand","45.9"
"Estimated Population (Persons in April)","2018","50 - 54 years","Both sexes","Dublin","Thousand","79.2"
"Estimated Population (Persons in April)","2018","50 - 54 years","Both sexes","Mid-East","Thousand","47"
"Estimated Population (Persons in April)","2018","50 - 54 years","Both sexes","Midland","Thousand","19.5"
"Estimated Population (Persons in April)","2018","50 - 54 years","Male","State","Thousand","153"
"Estimated Population (Persons in April)","2018","50 - 54 years","Male","Border","Thousand","13.2"
"Estimated Population (Persons in April)","2018","50 - 54 years","Male","West","Thousand","15"
"Estimated Population (Persons in April)","2018","50 - 54 years","Male","Mid-West","Thousand","15.8"
"Estimated Population (Persons in April)","2018","50 - 54 years","Male","South-East","Thousand","14.1"
"Estimated Population (Persons in April)","2018","50 - 54 years","Male","South-West","Thousand","23"
"Estimated Population (Persons in April)","2018","50 - 54 years","Male","Dublin","Thousand","38.4"
"Estimated Population (Persons in April)","2018","50 - 54 years","Male","Mid-East","Thousand","23.5"
"Estimated Population (Persons in April)","2018","50 - 54 years","Male","Midland","Thousand","9.9"
"Estimated Population (Persons in April)","2018","50 - 54 years","Female","State","Thousand","155.7"
"Estimated Population (Persons in April)","2018","50 - 54 years","Female","Border","Thousand","13.4"
"Estimated Population (Persons in April)","2018","50 - 54 years","Female","West","Thousand","14.9"
"Estimated Population (Persons in April)","2018","50 - 54 years","Female","Mid-West","Thousand","16"
"Estimated Population (Persons in April)","2018","50 - 54 years","Female","South-East","Thousand","14.5"
"Estimated Population (Persons in April)","2018","50 - 54 years","Female","South-West","Thousand","23"
"Estimated Population (Persons in April)","2018","50 - 54 years","Female","Dublin","Thousand","40.8"
"Estimated Population (Persons in April)","2018","50 - 54 years","Female","Mid-East","Thousand","23.5"
"Estimated Population (Persons in April)","2018","50 - 54 years","Female","Midland","Thousand","9.6"
"Estimated Population (Persons in April)","2018","55 - 59 years","Both sexes","State","Thousand","281.6"
"Estimated Population (Persons in April)","2018","55 - 59 years","Both sexes","Border","Thousand","24.5"
"Estimated Population (Persons in April)","2018","55 - 59 years","Both sexes","West","Thousand","27.8"
"Estimated Population (Persons in April)","2018","55 - 59 years","Both sexes","Mid-West","Thousand","29.6"
"Estimated Population (Persons in April)","2018","55 - 59 years","Both sexes","South-East","Thousand","26.6"
"Estimated Population (Persons in April)","2018","55 - 59 years","Both sexes","South-West","Thousand","42.3"
"Estimated Population (Persons in April)","2018","55 - 59 years","Both sexes","Dublin","Thousand","73.3"
"Estimated Population (Persons in April)","2018","55 - 59 years","Both sexes","Mid-East","Thousand","40"
"Estimated Population (Persons in April)","2018","55 - 59 years","Both sexes","Midland","Thousand","17.5"
"Estimated Population (Persons in April)","2018","55 - 59 years","Male","State","Thousand","139.2"
"Estimated Population (Persons in April)","2018","55 - 59 years","Male","Border","Thousand","12.2"
"Estimated Population (Persons in April)","2018","55 - 59 years","Male","West","Thousand","13.8"
"Estimated Population (Persons in April)","2018","55 - 59 years","Male","Mid-West","Thousand","14.8"
"Estimated Population (Persons in April)","2018","55 - 59 years","Male","South-East","Thousand","13.2"
"Estimated Population (Persons in April)","2018","55 - 59 years","Male","South-West","Thousand","21.2"
"Estimated Population (Persons in April)","2018","55 - 59 years","Male","Dublin","Thousand","35.2"
"Estimated Population (Persons in April)","2018","55 - 59 years","Male","Mid-East","Thousand","20"
"Estimated Population (Persons in April)","2018","55 - 59 years","Male","Midland","Thousand","8.9"
"Estimated Population (Persons in April)","2018","55 - 59 years","Female","State","Thousand","142.3"
"Estimated Population (Persons in April)","2018","55 - 59 years","Female","Border","Thousand","12.3"
"Estimated Population (Persons in April)","2018","55 - 59 years","Female","West","Thousand","14"
"Estimated Population (Persons in April)","2018","55 - 59 years","Female","Mid-West","Thousand","14.8"
"Estimated Population (Persons in April)","2018","55 - 59 years","Female","South-East","Thousand","13.3"
"Estimated Population (Persons in April)","2018","55 - 59 years","Female","South-West","Thousand","21.1"
"Estimated Population (Persons in April)","2018","55 - 59 years","Female","Dublin","Thousand","38.2"
"Estimated Population (Persons in April)","2018","55 - 59 years","Female","Mid-East","Thousand","20"
"Estimated Population (Persons in April)","2018","55 - 59 years","Female","Midland","Thousand","8.6"
"Estimated Population (Persons in April)","2018","60 - 64 years","Both sexes","State","Thousand","248.3"
"Estimated Population (Persons in April)","2018","60 - 64 years","Both sexes","Border","Thousand","22.4"
"Estimated Population (Persons in April)","2018","60 - 64 years","Both sexes","West","Thousand","26.1"
"Estimated Population (Persons in April)","2018","60 - 64 years","Both sexes","Mid-West","Thousand","27"
"Estimated Population (Persons in April)","2018","60 - 64 years","Both sexes","South-East","Thousand","23.3"
"Estimated Population (Persons in April)","2018","60 - 64 years","Both sexes","South-West","Thousand","37.6"
"Estimated Population (Persons in April)","2018","60 - 64 years","Both sexes","Dublin","Thousand","62.5"
"Estimated Population (Persons in April)","2018","60 - 64 years","Both sexes","Mid-East","Thousand","34.2"
"Estimated Population (Persons in April)","2018","60 - 64 years","Both sexes","Midland","Thousand","15.4"
"Estimated Population (Persons in April)","2018","60 - 64 years","Male","State","Thousand","123.2"
"Estimated Population (Persons in April)","2018","60 - 64 years","Male","Border","Thousand","11.2"
"Estimated Population (Persons in April)","2018","60 - 64 years","Male","West","Thousand","13"
